"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
2,0,1,0,1,0,1,1,0,0,0,1,3,0,3,0,"Desgosto"
3,1,4,0,0,0,0,2,0,0,1,1,3,0,3,1,"Alegria"
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Tristeza"
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
3,0,3,0,1,0,0,1,0,0,0,0,2,0,1,1,"Neutro"
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,"Neutro"
2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"Desgosto"
1,3,3,0,0,0,0,0,0,1,1,0,1,0,1,0,"Neutro"
1,1,1,1,2,1,2,1,0,1,0,0,3,1,3,1,"Neutro"
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,"Tristeza"
1,1,2,0,1,0,0,0,1,0,1,0,1,0,0,0,"Desgosto"
2,1,3,0,1,0,1,3,1,0,1,2,1,0,1,1,"Desgosto"
1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,"Tristeza"
3,0,2,0,1,1,2,1,1,0,1,0,1,0,2,1,"Surpresa"
3,1,4,0,0,0,0,0,0,0,0,0,2,0,2,0,"Tristeza"
1,2,3,0,2,1,1,3,1,0,0,2,2,0,2,0,"Alegria"
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,"Desgosto"
1,1,2,0,0,0,0,2,0,1,1,2,2,0,2,0,"Tristeza"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"Surpresa"
2,1,3,0,2,0,2,0,0,0,0,0,3,0,3,0,"Tristeza"
1,1,2,0,0,1,0,3,0,1,0,2,1,1,2,0,"Surpresa"
1,0,2,0,0,0,0,1,1,0,1,1,1,0,1,0,"Desgosto"
2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"Surpresa"
0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,"Neutro"
2,0,2,0,2,0,1,1,0,0,0,0,2,0,1,1,"Medo"
1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,"Medo"
0,2,3,0,0,1,0,3,0,1,0,2,0,0,0,1,"Surpresa"
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alegria"
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Neutro"
2,2,3,0,0,1,0,0,0,0,0,0,1,1,1,0,"Raiva"
2,0,2,0,1,0,0,1,0,0,0,0,2,0,1,1,"Neutro"
0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,"Tristeza"
1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,"Desgosto"
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0,0,0,0,2,1,1,2,1,0,0,1,2,1,2,1,"Surpresa"
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,"Neutro"
1,0,2,0,0,2,0,3,0,2,0,3,0,1,0,1,"Neutro"
1,1,2,0,1,0,1,0,0,0,0,0,4,0,4,0,"Alegria"
0,1,3,0,1,0,1,2,0,0,0,2,0,0,2,1,"Alegria"
0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,"Surpresa"
0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,"Raiva"
1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,"Medo"
0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,2,"Neutro"
2,0,3,0,0,0,0,1,0,0,1,1,1,0,1,0,"Desgosto"
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,"Alegria"
