"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
16.539251,0,7.158429,0,9.380822,0,9.380822,10.965784,0,0,0,10.965784,22.4795,0,22.4795,0,"Medo"
28.897353,4.816037,33.71339,0,0,0,0,24.31239,0,0,7.643856,15.931569,29.897353,0,29.897353,8.380822,"Tristeza"
0,5.717857,0,0,0,0,0,0,0,5.717857,0,5.506353,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,6.380822,0,0,0,6.380822,0,0,0,0,"Tristeza"
3.02327,0,8.741127,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
23.518677,0,23.518677,0,21.931569,0,0,21.931569,0,0,0,0,26.487962,0,4.556393,21.931569,"Surpresa"
0,0,10.965784,0,0,7.265345,0,7.265345,0,0,0,0,17.931569,0,17.931569,0,"Alegria"
25.852959,0,19.931569,0,0,0,0,10.965784,0,0,0,10.965784,19.931569,0,19.931569,0,"Surpresa"
10.965784,25.267996,27.852959,0,0,0,0,0,0,10.965784,10.965784,0,10.965784,0,10.965784,0,"Neutro"
7.506353,6.717857,7.506353,6.717857,17.539251,6.380822,17.539251,6.380822,0,9.380822,0,0,25.045604,6.380822,25.045604,6.380822,"Neutro"
3.02327,0,3.02327,0,0,8.965784,0,8.965784,0,0,0,0,4.556393,0,4.556393,0,"Tristeza"
7.506353,8.380822,14.488625,0,4.53952,0,0,0,7.506353,0,6.107803,0,4.53952,0,0,0,"Medo"
9.234167,10.965784,20.199951,0,10.965784,0,10.965784,28.437921,10.965784,0,10.965784,17.60964,6.210897,0,6.210897,6.506353,"Neutro"
10.965784,9.380822,20.346606,0,0,0,0,0,0,0,0,0,4.556393,0,4.556393,0,"Tristeza"
10.965784,7.965784,7.965784,0,0,0,0,28.009828,0,0,0,28.009828,0,0,0,0,"Tristeza"
21.933714,0,16.012324,0,8.643856,9.965784,18.024678,9.965784,9.965784,0,9.965784,0,8.643856,0,18.024678,8.380822,"Tristeza"
22.954838,4.816037,27.770876,0,0,0,0,0,0,0,0,0,19.931569,0,19.931569,0,"Tristeza"
7.158429,15.423774,22.582203,0,15.844106,7.265345,10.965784,25.026988,4.878321,0,0,17.761644,18.124214,0,18.124214,0,"Alegria"
0,0,0,0,6.265345,0,6.265345,15.012705,0,0,0,15.012705,6.265345,0,6.265345,0,"Tristeza"
7.965784,5.717857,15.60964,0,0,0,0,19.60964,0,5.717857,7.643856,19.60964,12.522178,0,12.522178,0,"Tristeza"
0,0,0,0,0,0,0,9.965784,0,0,0,5.506353,0,0,0,9.965784,"Surpresa"
12.132287,9.380822,21.513109,0,14.036751,0,14.036751,0,0,0,0,0,20.247648,0,20.247648,0,"Tristeza"
6.573467,9.965784,16.539251,0,0,8.965784,0,27.897353,0,8.965784,0,19.931569,4.556393,9.965784,14.522178,0,"Tristeza"
7.965784,0,18.931569,0,0,0,0,8.643856,7.965784,0,7.965784,8.643856,6.795859,0,6.795859,0,"Medo"
8.703652,0,8.703652,0,0,0,0,0,0,0,0,0,5.680382,0,5.680382,0,"Alegria"
0,9.965784,9.965784,0,0,8.380822,0,8.380822,0,8.380822,0,8.380822,0,0,0,0,"Neutro"
9.234167,0,9.234167,0,18.346606,0,9.965784,8.380822,0,0,0,0,14.591719,0,6.210897,8.380822,"Tristeza"
16.761644,0,16.761644,0,0,0,0,0,0,10.965784,15.931569,10.965784,16.761644,0,16.761644,0,"Tristeza"
0,11.611896,22.577681,0,0,7.265345,0,26.196913,0,7.265345,0,18.231129,0,0,0,7.965784,"Neutro"
10.965784,8.643856,19.60964,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,0,4.878321,0,0,0,4.878321,0,0,0,0,0,0,0,"Surpresa"
13.609988,18.472137,21.495407,0,0,9.380822,0,0,0,0,0,0,4.556393,9.380822,4.556393,0,"Raiva"
17.60964,0,17.60964,0,8.158429,0,0,9.965784,0,0,0,0,16.802286,0,8.643856,9.965784,"Neutro"
0,0,10.965784,0,4.878321,0,0,0,11.259143,0,17.346606,0,0,0,0,0,"Desgosto"
7.965784,0,7.965784,0,0,0,0,17.287712,7.965784,0,7.965784,17.287712,0,0,0,0,"Tristeza"
0,0,6.965784,0,0,0,0,0,0,0,0,0,10.965784,0,10.965784,0,"Tristeza"
5.92139,0,5.92139,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,14.287712,9.380822,6.643856,17.024678,7.643856,0,0,7.643856,12.361713,9.380822,12.361713,9.380822,"Surpresa"
27.308968,0,27.308968,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,17.931569,0,0,0,8.965784,9.965784,0,0,8.965784,"Neutro"
3.02327,0,11.989054,0,0,19.60964,0,30.575425,0,21.931569,0,32.897353,0,8.643856,0,8.643856,"Desgosto"
