"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
1.94,0,0.24,0,-0.09,0,-0.02,-1.85,0,0,0,-0.14,0.05,0,0.05,0,"DesgostoMedo"
1.79,0.21,2.9,0,0,0,0,-1.78,0,0,0.13,0.21,0.56,0,0.56,-0.12,"AlegriaMedoNeutroTristeza"
0,-0.09,0,0,0,0,0,0,0,-0.1,0,-0.19,0,0,0,0,"DesgostoSurpresaTristeza"
0,0,0,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,"NeutroTristeza"
1.78,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoSurpresa"
5,0,5.24,0,-0.51,0,0,-0.83,0,0,0,0,-0.12,0,0.06,-0.18,"NeutroSurpresa"
0,0,1.88,0,0,-0.24,0,-0.44,0,0,0,0,0.02,0,0.02,0,"AlegriaNeutro"
1.94,0,0.11,0,0,0,0,-1.6,0,0,0,0.16,0.03,0,0.03,0,"DesgostoSurpresaTristeza"
0.22,0.19,2.11,0,0,0,0,0,0,0.02,0.14,0,0.1,0,0.1,0,"AlegriaNeutro"
0.32,0.07,0.33,0.07,0.4,-0.13,0.12,-0.34,0,-0.09,0,0,0.38,-0.09,0.38,-0.09,"DesgostoNeutroTristeza"
1.78,0,1.9,0,0,-0.11,0,-0.19,0,0,0,0,0.06,0,0.06,0,"MedoTristeza"
0.11,0.37,1.71,0,0.01,0,0,0,0.08,0,0.17,0,-0.03,0,0,0,"DesgostoMedoTristeza"
1.95,-0.04,3.7,0,0.06,0,0.05,-4.72,0.12,0,0.11,0.08,0.09,0,0.09,-0.74,"DesgostoNeutro"
0.23,0.34,1.88,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,"DesgostoTristeza"
0.12,0.05,1.35,0,0,0,0,-4.17,0,0,0,-0.54,0,0,0,0,"MedoTristeza"
3.72,0,2.17,0,0.11,-0.05,0.09,-0.15,0.15,0,0.25,0,0.08,0,-0.03,-0.11,"DesgostoSurpresaTristeza"
2.22,0.21,3.7,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0,"DesgostoRaivaTristeza"
0.14,-0.13,3.22,0,0.16,-0.24,0.35,-3.42,0.09,0,0,0.04,0.09,0,0.09,0,"AlegriaDesgosto"
0,0,0,0,0.09,0,0.04,-1.76,0,0,0,-0.17,0.04,0,0.04,0,"DesgostoTristeza"
0.22,-0.09,0.35,0,0,0,0,-2.03,0,-0.1,0.15,-0.27,0.14,0,0.14,0,"DesgostoTristeza"
0,0,0,0,0,0,0,-1.62,0,0,0,-0.19,0,0,0,-0.99,"MedoSurpresaTristeza"
0.37,-0.06,2.16,0,0.14,0,0.14,0,0,0,0,0,0.16,0,0.16,0,"DesgostoMedoTristeza"
0.22,-0.03,0.44,0,0,-0.13,0,-1.62,0,0,0,0.17,0.06,-0.12,-0.06,0,"DesgostoSurpresaTristeza"
0.18,0,1.73,0,0,0,0,-1.06,0.23,0,0.25,0.35,0.1,0,0.1,0,"DesgostoMedoTristeza"
2.39,0,2.48,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,"AlegriaSurpresa"
0,-0.16,1.57,0,0,-0.07,0,-0.11,0,0,0,-0.04,0,0,0,0,"Neutro"
1.95,0,2.15,0,-0.35,0,0.15,-0.79,0,0,0,0,0,0,0.09,-0.09,"MedoTristeza"
0.17,0,0.25,0,0,0,0,0,0,0,0.14,-0.07,0.06,0,0.06,0,"MedoTristeza"
0,0.27,2.95,0,0,-0.11,0,-2.28,0,-0.01,0,-0.2,0,0,0,-0.14,"DesgostoNeutroSurpresa"
1.8,-0.08,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaNeutro"
0,0,0,0,-0.07,0,0,0,0.09,0,0,0,0,0,0,0,"NeutroSurpresa"
1.88,0.03,3.64,0,0,-0.05,0,0,0,0,0,0,0.06,-0.1,0.06,0,"DesgostoRaivaTristeza"
0.35,0,0.33,0,-0.27,0,0,-1.6,0,0,0,0,0.07,0,0.04,-0.99,"NeutroSurpresa"
0,0,1.58,0,-0.07,0,0,0,0.21,0,1.77,0,0,0,0,0,"DesgostoRaivaTristeza"
0.18,0,0.2,0,0,0,0,-1.06,0.23,0,0.25,0.35,0,0,0,0,"DesgostoMedoRaivaTristeza"
0,0,1.7,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,"DesgostoMedoTristeza"
0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0.23,-0.05,0.03,-2.63,0.83,0,0,0.01,0.17,-0.1,0.17,-0.82,"AlegriaMedoSurpresa"
2.34,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,-1.65,0,0,0,-0.24,-0.08,0,0,-0.07,"DesgostoNeutroTristeza"
1.78,0,3.64,0,0,-1.95,0,-3.79,0,-0.01,0,-0.27,0,-1.88,0,-1.88,"DesgostoMedoNeutro"
0.31,-0.01,1.77,0,0.28,0,0.19,0,0,0,0,0,0.51,0,0.51,0,"Alegria"
0,0.21,1.79,0,0.18,0,0.06,-1.75,0,0,0,-0.21,0,0,-0.1,-0.12,"AlegriaNeutroSurpresa"
0,0,0,-0.02,0.13,0,0.1,0,0,0,0,0,0.09,0,0.09,-0.08,"SurpresaTristeza"
0,0,0,0,0,0,0,-3.53,0,0,0,-0.48,0,0,0,0,"DesgostoRaivaSurpresa"
1.58,0.21,2.87,0,0,0,0,-2.51,0,0,0,0.15,0,0,0,0,"MedoTristeza"
0,0,0.21,0,0,-0.13,0,-1.83,0,0,0,0,0,-0.09,-0.09,-0.83,"DesgostoNeutroTristeza"
1.85,0,2.01,0,0,0,0,-1.56,0,0,0.15,0.23,0.17,0,0.17,0,"DesgostoMedoTristeza"
1.78,0,1.9,0,0.04,0,0.13,0,0.12,0,0.1,0,-0.02,0,-0.02,0,"Alegria"
0.31,0,0.23,0,-0.07,0,0,-1.91,0.09,0,0,-0.35,0.2,0,0.2,0,"AlegriaSurpresa"
0,0.14,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,"SurpresaTristeza"
2.18,0,2.1,0,0.17,0,0.27,-0.07,0,0,0,0,0.17,0,0.15,-0.75,"AlegriaMedoTristeza"
0.44,0,0.54,0,0.15,0,0.17,0,0,0,0,0,0.07,0,0.07,0,"NeutroSurpresa"
0,0,1.73,0,0,0,0,-1.53,0,0,0,0.16,0,0,0,0,"AlegriaDesgostoNeutro"
0,0.29,1.41,0,0.22,0,0.07,-1.68,0,0,0,-0.01,0.18,0,0.18,0,"AlegriaNeutroSurpresa"
2.04,0.34,4,0,0.01,-0.59,0,-0.8,0,0,0,0,0.02,0,0.05,0,"DesgostoMedoTristeza"
2.6,0.21,2.3,0,0,0,0,-1.45,0,0,0,-0.2,0.23,0,0.23,0,"DesgostoRaivaTristeza"
0,0.43,4.69,0,0.11,0,0.19,-3.13,0,0,0,-0.53,0.02,0,0.02,0,"DesgostoTristeza"
0.2,0,0.2,0,-0.05,-0.15,0,-3.53,0,0,0,-0.26,0.06,0,0.12,0,"MedoTristeza"
3.68,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaDesgostoMedoSurpresa"
0.2,-0.15,0,-0.12,0.1,0,0.12,-1.81,0,-0.04,0,-0.43,0.09,-0.3,0.07,-0.3,"AlegriaSurpresa"
0.15,0.22,1.96,0,0,0,0,-3.14,0.18,0,0.24,0.2,-0.01,0,-0.01,0,"Tristeza"
0.34,-0.19,3.14,0,0,0,0,0,0,0,0,-0.19,0.14,0,0.14,0,"Surpresa"
1.78,0,1.9,0,0.19,0,-0.01,0,0,0,0,0,0.27,0,0.27,0,"Tristeza"
0.29,0.08,0.32,0,0,0,0,-1.93,0,0,0.08,-0.28,0.22,-0.13,0.22,0,"Neutro"
1.78,-0.13,2.65,0,0.12,0,0.09,-1.61,0,0,0,-0.13,0.07,0,0.02,0,"Neutro"
0,0,0,0,0.3,0,0.02,-0.34,0,0,0,-0.19,0.22,0,0.22,0,"Tristeza"
1.9,0,2.02,0,0,0,0,-1.35,0,0,0,0.08,0,0,0,0,"DesgostoMedo"
1.72,-0.1,3.43,0,-0.6,-0.05,-0.62,-0.23,0,0,0,0,-0.52,-0.06,-0.49,-0.06,"Surpresa"
0,-0.07,1.44,0,0.3,0,0.21,0,0,0,0,0,0.2,0,0.2,0,"Surpresa"
0.28,0.01,0.18,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,"Surpresa"
0.15,0,0.15,0,0,-0.2,0,-0.3,0,-0.05,0.13,-0.15,0,0,0,0,"Neutro"
0.2,0.02,1.29,0,0,0,0,-1.59,0,0,0,0.17,0.02,0,0,0,"Surpresa"
0.44,0,0.54,0,0,0,0,-3.15,0,0,0,-0.18,0.04,0,0.04,0,"Surpresa"
0.95,0.27,2.27,0,0.11,0,0.02,0,0,0,0,0,0.34,0,0.34,0,"Alegria"
0,0.29,1.48,-0.13,-0.08,0,0,-0.64,0,-0.01,0.07,-0.13,0.22,0,0,0.22,"Neutro"
1.61,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0.48,0,0.45,0,0,0,0,0,0,0,0.17,0,0.16,0,0.05,0,"MedoTristeza"
0,-0.25,1.41,0,-0.07,0,0,-2.81,0.09,0,0,0.31,-0.02,0,-0.02,0,"Neutro"
0.2,0,0.2,0,-0.05,0,0,-1.89,0,0,0,-0.06,-0.06,0,0,0,"Medo"
0.33,0,0.41,0,-0.07,0,0,0,0.09,0,0,0,-0.01,0,-0.01,0,"Medo"
1.78,0,2.13,0,0.15,0,0.02,0,0,0,0,0,0.11,0,0.11,0,"Tristeza"
0,0,0,0,0.28,0,0.12,0,0,0,0,0,0.26,0,0.26,0,"Surpresa"
0.51,-0.34,1.96,0,0,0,0,-1.26,0,-0.1,0,0.07,0.14,0,0.09,0,"Tristeza"
0.42,0,0.39,0,0,0,0,-3.18,0.13,0,0.11,0.23,0.08,0,0.08,-0.73,"Tristeza"
0.67,-0.02,0.87,0,0,0,0,0,0.23,0.03,0.45,0,0.15,0,0.15,0,"Neutro"
1.78,0,2.11,0,0.12,0,0.2,-1.45,0.09,0,0,0.36,0.19,0,0.14,0,"DesgostoTristeza"
1.48,0,1.73,0,0,0,0,0,0.18,0,0.23,0,0.2,0,0.2,0,"Neutro"
2.59,-0.01,2.36,0,0,0,0,0,0,0,0,0,0.23,0,0.23,0,"Tristeza"
