"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
1,0,1,3,0,0,1,0,4,1,0,0,1,0,0,5,0,0,0,1,3,1,0,1,"DesgostoMedo"
1,1,2,3,0,1,0,1,3,3,1,0,1,0,1,6,0,0,0,2,4,1,0,1,"AlegriaMedoNeutroTristeza"
0,0,1,2,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,1,1,0,1,"DesgostoSurpresaTristeza"
0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,0,1,1,0,0,"NeutroTristeza"
2,0,1,2,0,0,1,0,0,4,0,0,0,0,0,5,0,0,1,0,2,2,0,0,"DesgostoSurpresa"
3,0,0,3,0,1,3,0,2,2,0,0,0,0,0,6,1,0,4,0,2,1,0,0,"NeutroSurpresa"
1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,1,1,0,0,"AlegriaNeutro"
1,0,1,1,0,1,1,0,1,2,0,0,1,0,0,3,0,0,0,0,2,1,0,1,"DesgostoSurpresaTristeza"
1,0,3,1,0,0,0,0,1,3,1,0,0,0,1,4,0,0,1,0,3,1,0,0,"AlegriaNeutro"
0,0,2,4,0,0,0,0,3,3,0,0,0,0,1,5,0,0,0,0,3,3,0,0,"DesgostoNeutroTristeza"
1,0,0,3,0,0,1,0,1,2,0,0,0,0,0,4,0,0,1,0,1,1,0,1,"MedoTristeza"
1,0,2,1,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,1,1,2,0,0,"DesgostoMedoTristeza"
2,0,1,3,0,3,1,0,3,4,0,1,2,0,1,5,0,1,2,0,3,0,0,4,"DesgostoNeutro"
1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,2,0,0,0,"DesgostoTristeza"
0,1,1,2,1,1,0,0,1,4,1,0,2,1,0,3,0,0,1,0,1,1,0,2,"MedoTristeza"
2,0,1,4,0,0,2,0,2,3,0,0,0,0,1,6,0,0,1,0,3,3,0,0,"DesgostoSurpresaTristeza"
2,0,2,0,0,0,1,0,2,0,1,0,0,0,0,4,0,0,1,1,2,0,0,0,"DesgostoRaivaTristeza"
1,2,1,3,0,2,0,0,3,4,0,2,2,0,1,6,0,0,1,2,1,3,0,2,"AlegriaDesgosto"
0,0,0,2,0,1,0,0,1,2,0,0,1,0,0,2,0,0,1,0,1,0,0,1,"DesgostoTristeza"
1,0,3,2,0,1,0,0,2,5,0,0,1,0,3,3,0,0,0,0,3,3,0,1,"DesgostoTristeza"
0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"MedoSurpresaTristeza"
1,1,2,2,0,0,0,0,4,1,0,1,0,0,0,6,0,0,1,0,4,1,0,0,"DesgostoMedoTristeza"
0,0,2,3,1,0,0,0,2,4,0,0,1,0,1,4,0,0,0,0,3,2,0,1,"DesgostoSurpresaTristeza"
1,0,1,1,1,0,0,0,2,2,0,0,1,0,1,2,0,0,1,0,2,0,1,0,"DesgostoMedoTristeza"
2,0,1,1,0,0,1,1,0,2,0,0,0,0,1,3,0,0,1,0,1,2,0,0,"AlegriaSurpresa"
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,"Neutro"
1,0,1,2,0,1,1,0,3,1,0,0,0,0,0,4,1,0,1,0,3,1,0,0,"MedoTristeza"
0,0,1,2,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,"MedoTristeza"
1,1,1,3,0,1,0,0,1,4,2,0,1,0,1,5,0,0,1,1,1,3,0,1,"DesgostoNeutroSurpresa"
2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,0,0,2,0,0,1,0,0,"AlegriaNeutro"
0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,"NeutroSurpresa"
2,0,2,2,0,0,1,0,2,2,0,1,0,0,0,6,0,0,2,0,2,2,0,0,"DesgostoRaivaTristeza"
0,0,2,1,1,1,0,0,4,1,0,0,0,0,0,4,0,1,0,0,3,1,0,1,"NeutroSurpresa"
1,0,1,2,0,0,0,0,2,2,0,0,1,0,3,0,0,0,1,0,1,2,0,0,"DesgostoRaivaTristeza"
0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,"DesgostoMedoRaivaTristeza"
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,"DesgostoMedoTristeza"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"MedoTristeza"
0,0,0,5,0,1,0,0,3,3,0,0,0,1,0,4,0,1,0,0,3,1,1,1,"AlegriaMedoSurpresa"
1,0,2,1,0,0,1,0,3,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,"MedoTristeza"
0,0,0,2,1,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,2,0,1,"DesgostoNeutroTristeza"
2,0,0,2,0,1,1,0,0,4,0,1,1,0,2,2,0,1,2,0,0,2,0,2,"DesgostoMedoNeutro"
1,0,1,3,0,0,0,0,4,0,0,1,0,0,0,5,0,0,0,1,4,0,0,0,"Alegria"
1,0,2,3,1,0,0,0,1,5,1,0,2,0,0,5,0,0,0,1,3,1,0,2,"AlegriaNeutroSurpresa"
1,0,1,2,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,0,1,2,0,0,"SurpresaTristeza"
0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"DesgostoRaivaSurpresa"
2,0,0,1,2,0,1,0,1,2,1,0,2,0,0,3,0,0,1,1,1,0,1,1,"MedoTristeza"
0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,1,0,1,"DesgostoNeutroTristeza"
1,0,2,0,0,1,1,0,1,2,0,0,1,0,1,2,0,0,1,0,2,0,1,0,"DesgostoMedoTristeza"
1,0,1,3,0,0,1,0,3,1,0,0,0,0,1,4,0,0,1,0,3,1,0,0,"Alegria"
0,0,1,1,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,"AlegriaSurpresa"
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,"SurpresaTristeza"
1,0,2,4,0,0,1,0,4,2,0,0,0,0,0,6,0,1,1,0,3,2,0,1,"AlegriaMedoTristeza"
0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,1,3,0,0,0,"NeutroSurpresa"
2,0,0,1,0,1,0,0,1,3,0,0,1,0,0,3,0,0,1,0,0,2,0,1,"AlegriaDesgostoNeutro"
1,0,0,3,0,1,0,0,1,3,1,0,1,0,0,4,0,0,0,1,1,0,0,3,"AlegriaNeutroSurpresa"
2,0,1,1,1,0,1,0,2,1,1,0,0,0,0,5,0,0,2,1,0,1,1,0,"DesgostoMedoTristeza"
2,0,2,0,1,0,1,1,1,1,1,0,1,0,0,4,0,0,0,1,2,1,0,1,"DesgostoRaivaTristeza"
3,0,0,1,0,2,0,0,1,3,2,0,0,2,0,4,0,0,2,1,1,0,0,2,"DesgostoTristeza"
0,0,1,3,1,1,0,0,3,3,0,0,2,0,0,4,0,0,0,0,2,2,0,1,"MedoTristeza"
2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,"AlegriaDesgostoMedoSurpresa"
0,0,3,2,0,1,0,0,2,4,0,0,1,0,2,3,0,0,0,0,1,4,0,1,"AlegriaSurpresa"
2,0,1,2,0,2,0,0,2,4,1,0,2,0,1,4,0,0,1,0,3,1,1,1,"Tristeza"
0,2,1,2,0,0,0,0,2,1,1,1,1,0,0,4,0,0,2,0,2,0,0,1,"Surpresa"
1,0,0,5,0,0,1,0,4,1,0,0,0,0,0,6,0,0,1,0,4,0,0,1,"Tristeza"
0,0,3,0,0,1,0,0,1,3,0,0,1,0,1,2,0,0,0,0,2,1,0,1,"Neutro"
1,0,2,2,1,0,1,0,2,3,0,0,1,0,0,5,0,0,1,1,3,0,0,1,"Neutro"
0,0,0,7,0,0,0,0,3,4,0,0,0,0,1,6,0,0,1,0,4,2,0,0,"Tristeza"
1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,"DesgostoMedo"
2,0,0,3,0,1,1,0,2,2,0,1,0,0,0,5,1,0,2,0,2,2,0,0,"Surpresa"
1,0,0,3,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,1,3,0,0,0,"Surpresa"
0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Surpresa"
0,0,2,3,0,0,0,0,1,4,0,0,0,0,2,3,0,0,0,0,2,3,0,0,"Neutro"
0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,1,0,1,0,1,"Surpresa"
0,0,1,2,1,1,1,0,1,3,0,0,2,0,0,3,0,0,0,1,1,1,0,2,"Surpresa"
1,1,0,5,0,0,0,1,5,0,1,0,0,0,0,7,0,0,0,1,6,0,0,0,"Alegria"
1,0,2,0,1,0,0,1,0,2,1,0,0,0,2,2,0,0,0,1,1,2,0,0,"Neutro"
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,"Medo"
0,0,3,3,0,0,0,0,3,3,0,0,0,0,2,4,0,0,0,0,5,1,0,0,"MedoTristeza"
0,1,0,4,0,2,0,0,3,3,0,1,2,0,1,4,0,0,1,0,2,2,1,1,"Neutro"
0,0,1,1,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,"Medo"
0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,"Medo"
1,0,1,1,0,1,1,0,1,2,0,0,0,0,0,3,0,1,1,0,2,1,0,0,"Tristeza"
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Surpresa"
0,1,3,0,1,0,0,0,1,3,0,1,1,0,1,3,0,0,1,0,2,1,0,1,"Tristeza"
0,0,2,0,1,1,0,0,2,2,0,0,1,0,1,1,0,1,0,0,2,0,0,2,"Tristeza"
0,0,3,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,"Neutro"
1,0,1,3,0,1,1,0,3,2,0,0,1,0,1,4,0,0,1,0,3,1,1,0,"DesgostoTristeza"
1,0,0,4,0,0,1,0,3,1,0,0,0,0,1,4,0,0,1,1,3,0,0,0,"Neutro"
