"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0.86,0,0.06,-0.24,0,0,0.84,0,0.96,0,0,0,0.71,0,0,-0.73,0,0,0,0.37,0.52,0,0,-0.85,"DesgostoMedo"
0.72,0.63,0.14,-0.1,0,-0.91,0,0.62,0.65,0,-0.51,0,0.93,0,0.03,-0.65,0,0,0,1.02,0.61,-0.05,0,-0.72,"NeutroTristeza"
0,0,0.04,0,0,0,0,0,0,-0.13,0,0,0.73,0,0.03,0,0,0,0,0,0.14,0,0,-0.92,"SurpresaTristeza"
0,0,0.02,0,0,-0.91,0,0,0,-0.05,0,0,0,0.65,0,-0.1,0,0,0,0,0.05,0,0,0,"NeutroTristeza"
1.87,0,0.08,0,0,0,0.85,0,0,-0.05,0,0,0,0,0,0,0,0,0.97,0,0.25,-0.1,0,0,"Surpresa"
2.66,0,0,0,0,-0.78,2.34,0,0.43,-0.05,0,0,0,0,0,-0.1,-0.45,0,3.4,0,0.28,-0.05,0,0,"NeutroSurpresa"
0.93,0,0,-0.2,0,0,0,0,0.09,-0.04,0,0,0,0,0,-0.07,0,0,0.95,0,0.06,-0.24,0,0,"AlegriaNeutro"
0.97,0,0.04,0,0,-0.92,0.8,0,0.13,-0.05,0,0,0.84,0,0,-0.1,0,0,0,0,0.12,0,0,-0.68,"SurpresaTristeza"
0.8,0,0.21,0,0,0,0,0,0.17,-0.24,-0.58,0,0,0,0.08,-0.07,0,0,0.95,0,0.26,0,0,0,"Neutro"
0,0,0.25,-0.27,0,0,0,0,0.72,-0.14,0,0,0,0,0.01,-0.42,0,0,0,0,0.45,-0.25,0,0,"NeutroTristeza"
0.93,0,0,-0.04,0,0,0.85,0,0.16,-0.07,0,0,0,0,0,-0.1,0,0,0.97,0,0.23,-0.15,0,-0.86,"Tristeza"
0.92,0,0.08,-0.06,0,0,0,0,0.14,0,-0.55,0,0,0,0.06,-0.1,0,0,0,0.63,0.12,0,0,0,"MedoTristeza"
1.66,0,0.03,-0.02,0,-2.43,0.85,0,0.3,0,0,-0.77,1.83,0,0.04,-0.05,0,-0.74,1.79,0,0.38,0,0,-3.2,"Neutro"
0.94,0,0.05,0,0,0,0,0,0.34,0,-0.6,0,0,0,0,-0.1,0,0,0.76,0,0.36,0,0,0,"Tristeza"
0,0.66,0.04,-0.13,-0.52,-0.91,0,0,0.08,0,-0.61,0,1.42,0.65,0,0,0,0,0.69,0,0.07,0,0,-1.61,"Tristeza"
1.9,0,0.04,-0.12,0,0,1.65,0,0.29,-0.02,0,0,0,0,0.02,-0.3,0,0,0.97,0,0.41,-0.24,0,0,"Tristeza"
1.65,0,0.14,0,0,0,0.85,0,0.3,0,-0.51,0,0,0,0,-0.14,0,0,0.97,0.65,0.29,0,0,0,"Tristeza"
0.93,1.26,0.03,-0.38,0,-1.37,0,0,0.45,-0.04,0,-1.72,1.65,0,0.02,-0.29,0,0,0.83,1.02,0.14,-0.24,0,-1.61,"Alegria"
0,0,0,-0.03,0,-0.82,0,0,0.12,0,0,0,0.77,0,0,-0.08,0,0,0.82,0,0.07,0,0,-0.94,"Tristeza"
0.84,0,0.11,-0.06,0,-0.97,0,0,0.36,-0.13,0,0,0.7,0,0.1,-0.22,0,0,0,0,0.51,-0.04,0,-0.96,"Tristeza"
