"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
1.94,0,0.24,0,-0.09,0,-0.02,-1.85,0,0,0,-0.14,0.05,0,0.05,0,"DesgostoMedo"
1.79,0.21,2.9,0,0,0,0,-1.78,0,0,0.13,0.21,0.56,0,0.56,-0.12,"NeutroTristeza"
0,-0.09,0,0,0,0,0,0,0,-0.1,0,-0.19,0,0,0,0,"SurpresaTristeza"
0,0,0,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,"NeutroTristeza"
1.78,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
5,0,5.24,0,-0.51,0,0,-0.83,0,0,0,0,-0.12,0,0.06,-0.18,"NeutroSurpresa"
0,0,1.88,0,0,-0.24,0,-0.44,0,0,0,0,0.02,0,0.02,0,"AlegriaNeutro"
1.94,0,0.11,0,0,0,0,-1.6,0,0,0,0.16,0.03,0,0.03,0,"SurpresaTristeza"
0.22,0.19,2.11,0,0,0,0,0,0,0.02,0.14,0,0.1,0,0.1,0,"Neutro"
0.32,0.07,0.33,0.07,0.4,-0.13,0.12,-0.34,0,-0.09,0,0,0.38,-0.09,0.38,-0.09,"NeutroTristeza"
1.78,0,1.9,0,0,-0.11,0,-0.19,0,0,0,0,0.06,0,0.06,0,"Tristeza"
0.11,0.37,1.71,0,0.01,0,0,0,0.08,0,0.17,0,-0.03,0,0,0,"MedoTristeza"
1.95,-0.04,3.7,0,0.06,0,0.05,-4.72,0.12,0,0.11,0.08,0.09,0,0.09,-0.74,"Neutro"
0.23,0.34,1.88,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,"Tristeza"
0.12,0.05,1.35,0,0,0,0,-4.17,0,0,0,-0.54,0,0,0,0,"Tristeza"
3.72,0,2.17,0,0.11,-0.05,0.09,-0.15,0.15,0,0.25,0,0.08,0,-0.03,-0.11,"Tristeza"
