"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
2,0,1,0,1,0,1,1,0,0,0,1,3,0,3,0,"DesgostoMedo"
3,1,4,0,0,0,0,2,0,0,1,1,3,0,3,1,"NeutroTristeza"
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"SurpresaTristeza"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"NeutroTristeza"
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
3,0,3,0,1,0,0,1,0,0,0,0,2,0,1,1,"NeutroSurpresa"
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,"AlegriaNeutro"
2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,"SurpresaTristeza"
1,3,3,0,0,0,0,0,0,1,1,0,1,0,1,0,"Neutro"
1,1,1,1,2,1,2,1,0,1,0,0,3,1,3,1,"NeutroTristeza"
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,"Tristeza"
1,1,2,0,1,0,0,0,1,0,1,0,1,0,0,0,"MedoTristeza"
2,1,3,0,1,0,1,3,1,0,1,2,1,0,1,1,"Neutro"
1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,"Tristeza"
3,0,2,0,1,1,2,1,1,0,1,0,1,0,2,1,"Tristeza"
3,1,4,0,0,0,0,0,0,0,0,0,2,0,2,0,"Tristeza"
1,2,3,0,2,1,1,3,1,0,0,2,2,0,2,0,"Alegria"
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,"Tristeza"
1,1,2,0,0,0,0,2,0,1,1,2,2,0,2,0,"Tristeza"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"SurpresaTristeza"
2,1,3,0,2,0,2,0,0,0,0,0,3,0,3,0,"MedoTristeza"
1,1,2,0,0,1,0,3,0,1,0,2,1,1,2,0,"SurpresaTristeza"
1,0,2,0,0,0,0,1,1,0,1,1,1,0,1,0,"Medo"
2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"AlegriaSurpresa"
0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,"Neutro"
2,0,2,0,2,0,1,1,0,0,0,0,2,0,1,1,"Tristeza"
1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,"MedoTristeza"
0,2,3,0,0,1,0,3,0,1,0,2,0,0,0,1,"NeutroSurpresa"
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaNeutro"
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"NeutroSurpresa"
2,2,3,0,0,1,0,0,0,0,0,0,1,1,1,0,"RaivaTristeza"
2,0,2,0,1,0,0,1,0,0,0,0,2,0,1,1,"NeutroSurpresa"
0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,"DesgostoTristeza"
1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,"RaivaTristeza"
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"Tristeza"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
