"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,-0.16,1.57,0,0,-0.07,0,-0.11,0,0,0,-0.04,0,0,0,0,"Neutro"
0.31,-0.01,1.77,0,0.28,0,0.19,0,0,0,0,0,0.51,0,0.51,0,"Alegria"
1.78,0,1.9,0,0.04,0,0.13,0,0.12,0,0.1,0,-0.02,0,-0.02,0,"Alegria"
0.15,0.22,1.96,0,0,0,0,-3.14,0.18,0,0.24,0.2,-0.01,0,-0.01,0,"Tristeza"
0.34,-0.19,3.14,0,0,0,0,0,0,0,0,-0.19,0.14,0,0.14,0,"Surpresa"
1.78,0,1.9,0,0.19,0,-0.01,0,0,0,0,0,0.27,0,0.27,0,"Tristeza"
0.29,0.08,0.32,0,0,0,0,-1.93,0,0,0.08,-0.28,0.22,-0.13,0.22,0,"Neutro"
1.78,-0.13,2.65,0,0.12,0,0.09,-1.61,0,0,0,-0.13,0.07,0,0.02,0,"Neutro"
0,0,0,0,0.3,0,0.02,-0.34,0,0,0,-0.19,0.22,0,0.22,0,"Tristeza"
1.72,-0.1,3.43,0,-0.6,-0.05,-0.62,-0.23,0,0,0,0,-0.52,-0.06,-0.49,-0.06,"Surpresa"
0,-0.07,1.44,0,0.3,0,0.21,0,0,0,0,0,0.2,0,0.2,0,"Surpresa"
0.28,0.01,0.18,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,"Surpresa"
0.15,0,0.15,0,0,-0.2,0,-0.3,0,-0.05,0.13,-0.15,0,0,0,0,"Neutro"
0.2,0.02,1.29,0,0,0,0,-1.59,0,0,0,0.17,0.02,0,0,0,"Surpresa"
0.44,0,0.54,0,0,0,0,-3.15,0,0,0,-0.18,0.04,0,0.04,0,"Surpresa"
0.95,0.27,2.27,0,0.11,0,0.02,0,0,0,0,0,0.34,0,0.34,0,"Alegria"
0,0.29,1.48,-0.13,-0.08,0,0,-0.64,0,-0.01,0.07,-0.13,0.22,0,0,0.22,"Neutro"
1.61,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0,-0.25,1.41,0,-0.07,0,0,-2.81,0.09,0,0,0.31,-0.02,0,-0.02,0,"Neutro"
0.2,0,0.2,0,-0.05,0,0,-1.89,0,0,0,-0.06,-0.06,0,0,0,"Medo"
0.33,0,0.41,0,-0.07,0,0,0,0.09,0,0,0,-0.01,0,-0.01,0,"Medo"
1.78,0,2.13,0,0.15,0,0.02,0,0,0,0,0,0.11,0,0.11,0,"Tristeza"
0,0,0,0,0.28,0,0.12,0,0,0,0,0,0.26,0,0.26,0,"Surpresa"
0.51,-0.34,1.96,0,0,0,0,-1.26,0,-0.1,0,0.07,0.14,0,0.09,0,"Tristeza"
0.42,0,0.39,0,0,0,0,-3.18,0.13,0,0.11,0.23,0.08,0,0.08,-0.73,"Tristeza"
0.67,-0.02,0.87,0,0,0,0,0,0.23,0.03,0.45,0,0.15,0,0.15,0,"Neutro"
1.48,0,1.73,0,0,0,0,0,0.18,0,0.23,0,0.2,0,0.2,0,"Neutro"
2.59,-0.01,2.36,0,0,0,0,0,0,0,0,0,0.23,0,0.23,0,"Tristeza"
0.18,0.29,1.52,0,0,0,0,0,0,0,0,0,0.04,0,0.04,-0.75,"Alegria"
0.2,0,0.19,0,0,-0.18,0,-0.15,0,-0.06,0,-0.09,0.07,0,0.07,0,"Neutro"
0,0,0,0,0,0,0,-1.68,0,0,0,0,0,0,0,0,"Surpresa"
0.21,0.05,1.63,0,0,0,0,-1.68,0,0,0,-0.13,0.12,0,0.12,0,"Medo"
0.46,-0.09,5.38,0,-0.07,-0.12,0,0,0.09,0.01,0,0,0.19,0,0.19,0,"Neutro"
0.38,0,0.5,0,0,0,0,0,0,0,0,-0.06,-0.09,0,-0.09,0,"Neutro"
1.78,-0.13,1.9,0,0,-0.13,0,-0.34,0,0,0,0,0,-0.09,0,-0.09,"Alegria"
0,0,1.61,0,0,0,0,-1.89,0,0,0,-0.06,0.2,0,0.2,0,"Medo"
0.5,0.06,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,-0.02,0,0,0,0,0,0,0,0.15,0,0,0,-0.08,"Medo"
0.2,0.3,1.61,0,0.11,0,0.03,-1.89,0.2,0,0.17,-0.06,0.15,0,0.15,0,"Neutro"
0,0,0.11,0,0.21,0,0.14,0,0,0,0,0.03,-0.03,0,-0.03,0,"Medo"
0,0.29,1.41,0,0.11,-0.09,0.03,-0.13,0,0,0,0.03,0.07,0,0.07,0,"Medo"
0,0,0.24,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.1,0,"Alegria"
3.67,0,3.81,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,"Surpresa"
0,0,0,0,0.06,0,0.1,-1.64,0,0,0,-0.42,0,0,0,0,"Neutro"
0.1,0.06,3.06,0,0.09,0,0.04,-3.28,0,0,0,-0.32,0.06,0,0.06,0,"Medo"
0.26,0.09,1.87,0,0.1,0,0.17,-3.28,0,0,0,-0.11,0.16,0,0.16,0,"Alegria"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
0,0.16,3.3,0,0,0,0,-1.67,0,0,0,0.09,0,0,0,0,"Medo"
0.61,0,0.64,0,-0.69,0,-0.04,-0.94,0,0,0,0,-0.16,0,0.02,-0.18,"Surpresa"
0,0.01,0,0.08,0,0,0,-1.5,0,0,0,0.09,0,-0.19,0,-0.19,"Tristeza"
0.14,-0.68,3.47,0,0.11,0,0.06,-1.55,0.09,-0.03,0,-0.3,-0.04,0,-0.04,0,"Surpresa"
0,0,0,0,0,0,0,-1.98,0,0,0,0.21,0,0,0,-0.14,"Medo"
