"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,9.965784,0,8.380822,0,0,0,0,0,8.380822,0,9.965784,0,0,8.380822,9.965784,0,0,9.965784,0,0,8.380822,0,0,"Neutro"
9.380822,0,6.058894,29.196913,0,0,0,0,35.255807,0,0,9.380822,0,0,0,44.636629,0,0,0,9.380822,35.255807,0,0,0,"Alegria"
3.02327,0,10.965784,33.693212,0,0,3.02327,0,33.693212,10.965784,0,0,0,0,12.761644,34.920623,0,0,3.02327,0,33.693212,10.965784,0,0,"Alegria"
12.717249,0,8.965784,12.238082,0,31.31239,0,0,17.931569,41.380547,5.92139,0,31.31239,0,8.965784,24.955331,0,0,5.92139,0,21.203866,6.795859,9.380822,21.931569,"Tristeza"
0,20.346606,10.965784,10.062746,0,0,0,0,15.522178,5.506353,10.965784,9.380822,5.506353,0,0,35.868784,0,0,20.346606,0,15.522178,0,0,5.506353,"Surpresa"
3.02327,0,0,35.156848,0,0,3.02327,0,29.278527,5.878321,0,0,0,0,0,38.180118,0,0,3.02327,0,29.278527,0,0,5.878321,"Tristeza"
0,0,25.183107,0,0,10.965784,0,0,9.380822,26.76807,0,0,10.965784,0,7.158429,18.024678,0,0,0,0,16.539251,8.643856,0,10.965784,"Neutro"
3.02327,0,16.646166,28.089998,32.897353,0,3.02327,0,28.089998,49.543519,0,0,32.897353,0,0,47.759434,0,0,3.02327,9.380822,35.355342,0,0,32.897353,"Neutro"
0,0,0,53.649334,0,0,0,0,23.290023,30.359311,0,0,0,0,7.506353,46.142981,0,0,7.506353,0,31.255807,14.887174,0,0,"Tristeza"
21.931569,0,0,23.099529,0,19.931569,10.965784,0,24.471088,18.56001,0,10.965784,0,0,0,45.031098,19.931569,0,21.931569,0,23.203866,19.827232,0,0,"Surpresa"
8.158429,0,0,30.575425,0,0,0,10.965784,19.60964,0,0,8.158429,0,0,0,38.733854,0,0,0,8.158429,30.575425,0,0,0,"Surpresa"
0,0,15.844106,0,0,0,0,0,6.878321,8.965784,0,0,0,0,0,15.844106,0,0,0,0,6.878321,8.965784,0,0,"Surpresa"
0,0,19.931569,27.990462,0,0,0,0,9.965784,37.956247,0,0,0,0,17.024678,30.897353,0,0,0,0,17.60964,30.31239,0,0,"Neutro"
0,8.965784,7.158429,0,0,21.931569,0,0,7.158429,21.931569,8.965784,0,21.931569,0,0,16.124214,0,0,0,8.965784,0,7.158429,0,21.931569,"Surpresa"
0,0,6.158429,14.238082,8.158429,10.965784,10.965784,0,6.158429,22.396511,0,0,19.124214,0,0,20.396511,0,0,0,6.158429,3.272297,10.965784,0,19.124214,"Surpresa"
10.965784,10.965784,0,55.527919,0,0,0,10.965784,55.527919,0,10.965784,0,0,0,0,77.459488,0,0,0,10.965784,66.493703,0,0,0,"Alegria"
8.643856,0,17.60964,0,7.158429,0,0,7.158429,0,17.60964,8.643856,0,0,0,17.60964,15.802286,0,0,0,8.643856,9.965784,14.802286,0,0,"Neutro"
8.965784,0,0,3.272297,0,0,8.965784,0,0,3.272297,0,0,0,0,0,12.238082,0,0,8.965784,0,3.272297,0,0,0,"Medo"
0,8.158429,0,47.741459,0,17.761644,0,0,37.775674,27.727428,0,8.158429,17.761644,0,4.878321,51.021567,0,0,8.158429,0,31.897353,15.844106,6.795859,10.965784,"Neutro"
0,0,5.92139,8.965784,0,5.083141,0,0,14.887174,5.083141,0,0,5.083141,0,0,14.887174,0,0,0,0,5.92139,8.965784,0,0,"Medo"
0,0,9.965784,15.844106,0,0,0,0,25.80989,0,0,0,0,0,4.878321,20.931569,0,0,0,9.965784,10.965784,4.878321,0,0,"Medo"
3.02327,0,16.316859,6.573467,0,6.506353,3.02327,0,6.573467,22.823211,0,0,0,0,0,25.913595,0,6.506353,3.02327,0,22.890326,6.506353,0,0,"Tristeza"
0,0,0,9.965784,0,0,0,0,9.965784,0,0,0,0,0,0,9.965784,0,0,0,0,9.965784,0,0,0,"Surpresa"
0,8.158429,21.141631,0,10.965784,0,0,0,8.158429,23.948986,0,8.158429,10.965784,0,5.717857,23.582203,0,0,8.158429,0,15.423774,5.717857,0,10.965784,"Tristeza"
0,0,16.024678,0,9.965784,7.965784,0,0,16.024678,17.931569,0,0,9.965784,0,9.965784,6.058894,0,7.965784,0,0,16.024678,0,0,17.931569,"Tristeza"
0,0,26.31239,0,0,0,0,8.965784,7.965784,9.380822,0,0,0,0,17.346606,8.965784,0,0,0,8.965784,17.346606,0,0,0,"Neutro"
9.965784,0,0,32.73169,0,0,9.965784,0,29.459393,3.272297,0,0,0,0,10.965784,31.73169,0,0,9.965784,9.380822,23.350868,0,0,0,"Neutro"
3.02327,0,28.31239,3.272297,0,0,3.02327,10.965784,7.965784,12.653119,0,0,0,0,0,23.642173,10.965784,0,3.02327,0,22.203866,9.380822,0,0,"Tristeza"
8.965784,0,6.573467,16.539251,0,0,0,0,14.731896,8.380822,8.965784,0,0,0,0,23.697681,0,8.380822,0,8.965784,6.573467,8.158429,0,8.380822,"Alegria"
0,0,10.965784,27.4055,0,0,0,0,10.965784,27.4055,0,0,0,0,27.4055,10.965784,0,0,0,0,10.965784,27.4055,0,0,"Neutro"
0,0,0,6.573467,0,18.761644,0,0,0,25.33511,0,0,0,0,0,25.33511,0,0,0,0,6.573467,0,0,18.761644,"Surpresa"
6.717857,7.965784,8.965784,14.522178,0,10.965784,0,0,13.522178,27.649425,7.965784,0,0,10.965784,0,38.171603,0,0,7.965784,0,13.522178,16.683641,0,10.965784,"Medo"
39.055782,0,15.036751,21.19518,0,0,0,0,19.915072,16.316859,0,39.055782,0,0,21.19518,54.092533,0,0,39.055782,0,15.036751,21.19518,0,0,"Neutro"
0,0,17.761644,9.380822,0,0,0,0,9.965784,17.176681,0,0,0,0,9.380822,17.761644,0,0,0,0,9.965784,17.176681,0,0,"Neutro"
9.069809,0,10.965784,15.346606,0,0,18.035594,0,0,17.346606,0,0,0,0,0,35.3822,0,0,18.035594,0,0,17.346606,0,0,"Alegria"
10.965784,0,0,22.581873,0,10.166282,0,0,19.309575,24.404364,0,0,10.166282,0,0,33.547657,0,0,10.965784,0,22.581873,0,0,0,"Medo"
0,6.795859,8.643856,3.272297,0,0,0,0,8.643856,3.272297,6.795859,0,0,0,0,18.712013,0,0,6.795859,0,11.916154,0,0,0,"Neutro"
0,0,7.643856,8.380822,0,0,0,0,0,16.024678,0,0,8.380822,0,0,7.643856,0,0,0,0,0,7.643856,0,8.380822,"Medo"
8.643856,0,8.965784,25.990462,0,10.166282,0,0,23.990462,21.132067,8.643856,0,10.166282,0,8.380822,35.219281,0,0,0,8.643856,23.990462,0,0,10.965784,"Neutro"
0,0,9.965784,32.233781,0,0,0,0,17.472137,24.727428,0,0,0,0,14.761644,27.437921,0,0,0,0,27.437921,14.761644,0,0,"Medo"
9.380822,0,0,43.077118,0,0,0,0,14.802286,28.274832,9.380822,0,8.158429,0,0,44.29951,0,0,0,9.380822,9.916154,19.124214,0,14.036751,"Medo"
0,0,10.965784,5.680382,0,0,0,0,5.680382,10.965784,0,0,0,0,0,16.646166,0,0,0,0,16.646166,0,0,0,"Alegria"
16.035975,0,8.380822,0,0,0,16.035975,0,8.380822,0,0,0,0,0,0,24.416797,0,0,16.035975,0,8.380822,0,0,0,"Surpresa"
0,0,0,24.401498,0,5.380822,0,0,13.435714,16.346606,0,0,0,5.380822,0,24.401498,0,0,0,0,24.401498,0,0,5.380822,"Neutro"
10.965784,7.380822,5.293359,11.771697,6.643856,7.380822,0,0,17.065056,14.024678,7.380822,10.965784,14.024678,0,0,35.411662,0,0,18.346606,0,11.771697,5.293359,0,14.024678,"Medo"
7.795859,0,8.965784,40.693212,7.965784,9.380822,0,0,27.727428,49.243959,7.795859,0,9.965784,7.965784,0,57.454856,0,9.380822,7.795859,0,27.727428,31.31239,0,17.931569,"Alegria"
6.717857,0,0,0,0,0,0,0,0,6.717857,0,0,0,0,0,6.717857,0,0,0,0,0,6.717857,0,0,"Surpresa"
19.931569,0,0,4.795859,0,10.965784,0,0,4.795859,10.965784,0,19.931569,10.965784,0,0,24.727428,0,0,9.965784,9.965784,0,4.795859,0,10.965784,"Medo"
0,0,12.539251,16.802286,0,7.643856,0,0,28.341537,8.643856,0,0,0,0,0,29.341537,7.643856,0,0,6.158429,14.539251,16.287712,0,0,"Surpresa"
6.795859,0,9.965784,0,10.965784,0,0,0,0,27.727428,0,0,10.965784,0,0,16.761644,0,0,0,0,0,16.761644,0,10.965784,"Tristeza"
9.965784,8.643856,21.931569,34.075235,0,9.965784,0,0,34.075235,20.931569,20.931569,8.643856,0,9.965784,15.844106,58.772338,0,0,18.60964,10.965784,29.196913,15.844106,0,9.965784,"Surpresa"
0,0,0,7.965784,0,7.965784,0,0,0,15.931569,0,0,7.965784,0,0,7.965784,0,0,0,0,0,7.965784,0,7.965784,"Medo"
15.887174,0,0,10.965784,0,10.965784,5.92139,0,0,10.965784,9.965784,10.965784,0,0,10.965784,15.887174,0,10.965784,0,9.965784,0,27.852959,0,0,"Medo"
