"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,9.965784,9.965784,0,0,8.380822,0,8.380822,0,8.380822,0,8.380822,0,0,0,0,"Neutro"
6.058894,9.380822,15.439715,0,10.965784,0,10.965784,0,0,0,0,0,35.255807,0,35.255807,0,"Alegria"
3.02327,0,3.02327,0,10.965784,0,10.965784,0,12.761644,0,12.761644,0,10.965784,0,10.965784,0,"Alegria"
8.965784,5.92139,14.887174,0,0,0,0,31.31239,8.965784,0,8.965784,31.31239,8.965784,0,8.965784,0,"Tristeza"
10.965784,20.346606,31.31239,0,0,0,0,0,0,0,0,5.506353,15.522178,0,15.522178,0,"Surpresa"
3.02327,0,3.02327,0,5.680382,0,5.680382,0,0,0,0,0,22.70506,0,22.70506,0,"Tristeza"
9.380822,8.643856,16.539251,0,0,0,0,10.965784,0,0,7.158429,10.965784,9.380822,8.643856,9.380822,0,"Neutro"
3.02327,9.380822,19.669436,0,28.089998,0,28.089998,32.897353,0,0,0,32.897353,28.089998,0,35.355342,0,"Neutro"
0,0,0,0,12.324238,0,12.324238,7.506353,0,0,0,7.506353,23.290023,0,23.290023,0,"Tristeza"
10.965784,10.965784,21.931569,0,24.471088,15.287712,19.931569,15.287712,0,0,0,0,24.471088,15.287712,19.931569,15.287712,"Surpresa"
0,8.158429,8.158429,0,10.965784,0,10.965784,0,0,0,0,0,19.60964,0,19.60964,0,"Surpresa"
6.878321,8.965784,6.878321,0,0,0,0,0,0,0,0,0,6.878321,0,6.878321,0,"Surpresa"
9.965784,0,9.965784,0,0,9.380822,0,9.380822,0,9.380822,7.643856,9.380822,0,0,0,0,"Neutro"
7.158429,8.965784,8.965784,0,0,0,0,21.931569,0,0,0,21.931569,7.158429,0,0,0,"Surpresa"
6.158429,0,6.158429,0,0,0,0,19.124214,0,0,0,19.124214,6.158429,0,6.158429,0,"Surpresa"
10.965784,10.965784,21.931569,0,32.897353,0,32.897353,0,0,0,0,0,34.596351,0,34.596351,0,"Alegria"
0,16.287712,18.60964,7.643856,7.158429,0,0,7.158429,0,7.643856,9.965784,7.643856,7.158429,0,0,7.158429,"Neutro"
8.965784,0,8.965784,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0,8.158429,8.158429,0,4.878321,0,0,17.761644,4.878321,0,0,17.761644,21.931569,0,21.931569,0,"Neutro"
5.92139,0,5.92139,0,8.965784,0,0,5.083141,0,0,0,5.083141,8.965784,0,0,0,"Medo"
9.965784,0,9.965784,0,4.878321,0,0,0,4.878321,0,0,0,9.965784,0,9.965784,0,"Medo"
3.02327,0,19.340129,0,6.573467,0,6.573467,0,0,0,0,0,6.573467,0,6.573467,0,"Tristeza"
0,0,0,0,9.965784,0,9.965784,0,0,0,0,0,9.965784,0,9.965784,0,"Surpresa"
8.158429,13.876286,23.582203,0,0,0,0,10.965784,0,5.717857,0,10.965784,8.158429,0,15.423774,0,"Tristeza"
16.024678,0,16.024678,0,0,0,0,17.931569,9.965784,0,9.965784,9.965784,6.058894,0,6.058894,7.965784,"Tristeza"
16.931569,9.380822,26.31239,0,0,0,0,0,7.965784,9.380822,17.346606,0,8.965784,0,8.965784,0,"Neutro"
9.965784,0,9.965784,0,0,0,0,0,10.965784,0,10.965784,0,18.493608,0,18.493608,0,"Neutro"
21.954838,9.380822,21.954838,0,0,0,0,0,0,0,0,0,18.931569,0,18.931569,0,"Tristeza"
6.573467,8.965784,15.539251,0,0,0,0,0,0,0,0,0,6.573467,0,6.573467,8.380822,"Alegria"
10.965784,0,10.965784,0,0,8.643856,0,8.643856,0,8.643856,0,27.4055,10.965784,0,10.965784,0,"Neutro"
0,0,0,0,0,0,0,18.761644,0,0,0,0,0,0,0,0,"Surpresa"
8.965784,7.965784,16.931569,0,0,0,0,20.931569,0,0,0,10.965784,13.522178,0,13.522178,0,"Medo"
15.036751,39.055782,54.092533,0,4.878321,16.316859,0,0,4.878321,16.316859,0,0,15.036751,0,15.036751,0,"Neutro"
9.965784,0,9.965784,0,0,0,0,0,0,0,0,9.380822,9.965784,0,9.965784,0,"Neutro"
9.069809,10.965784,9.069809,0,0,6.380822,0,6.380822,0,0,0,0,0,6.380822,0,6.380822,"Alegria"
0,0,10.965784,0,0,0,0,10.166282,0,0,0,10.166282,19.309575,0,19.309575,0,"Medo"
8.643856,6.795859,15.439715,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,7.643856,0,0,0,0,0,0,0,8.380822,0,0,0,7.643856,"Medo"
8.965784,8.643856,17.60964,0,6.643856,0,6.643856,10.166282,8.380822,0,8.380822,10.166282,15.60964,0,15.60964,0,"Neutro"
0,0,9.965784,0,9.965784,0,9.965784,0,0,0,0,14.761644,9.965784,0,9.965784,0,"Medo"
0,9.380822,9.380822,0,6.643856,10.965784,6.643856,10.965784,0,0,0,8.158429,6.643856,0,6.643856,0,"Medo"
0,0,10.965784,0,5.680382,0,5.680382,0,0,0,0,0,5.680382,0,16.646166,0,"Alegria"
24.416797,0,24.416797,0,0,0,0,0,0,0,0,0,8.380822,0,8.380822,0,"Surpresa"
0,0,0,0,13.435714,0,13.435714,5.380822,0,0,0,5.380822,0,0,0,0,"Neutro"
