"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
1.94,0,0.24,0,-0.09,0,-0.02,-1.85,0,0,0,-0.14,0.05,0,0.05,0,TRUE
1.79,0.21,2.9,0,0,0,0,-1.78,0,0,0.13,0.21,0.56,0,0.56,-0.12,FALSE
0,-0.09,0,0,0,0,0,0,0,-0.1,0,-0.19,0,0,0,0,TRUE
0,0,0,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,FALSE
1.78,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
5,0,5.24,0,-0.51,0,0,-0.83,0,0,0,0,-0.12,0,0.06,-0.18,FALSE
0,0,1.88,0,0,-0.24,0,-0.44,0,0,0,0,0.02,0,0.02,0,FALSE
1.94,0,0.11,0,0,0,0,-1.6,0,0,0,0.16,0.03,0,0.03,0,TRUE
0.22,0.19,2.11,0,0,0,0,0,0,0.02,0.14,0,0.1,0,0.1,0,FALSE
0.32,0.07,0.33,0.07,0.4,-0.13,0.12,-0.34,0,-0.09,0,0,0.38,-0.09,0.38,-0.09,TRUE
1.78,0,1.9,0,0,-0.11,0,-0.19,0,0,0,0,0.06,0,0.06,0,FALSE
0.11,0.37,1.71,0,0.01,0,0,0,0.08,0,0.17,0,-0.03,0,0,0,TRUE
1.95,-0.04,3.7,0,0.06,0,0.05,-4.72,0.12,0,0.11,0.08,0.09,0,0.09,-0.74,TRUE
0.23,0.34,1.88,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,TRUE
0.12,0.05,1.35,0,0,0,0,-4.17,0,0,0,-0.54,0,0,0,0,FALSE
3.72,0,2.17,0,0.11,-0.05,0.09,-0.15,0.15,0,0.25,0,0.08,0,-0.03,-0.11,TRUE
2.22,0.21,3.7,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0,TRUE
0.14,-0.13,3.22,0,0.16,-0.24,0.35,-3.42,0.09,0,0,0.04,0.09,0,0.09,0,TRUE
0,0,0,0,0.09,0,0.04,-1.76,0,0,0,-0.17,0.04,0,0.04,0,TRUE
0.22,-0.09,0.35,0,0,0,0,-2.03,0,-0.1,0.15,-0.27,0.14,0,0.14,0,TRUE
0,0,0,0,0,0,0,-1.62,0,0,0,-0.19,0,0,0,-0.99,FALSE
0.37,-0.06,2.16,0,0.14,0,0.14,0,0,0,0,0,0.16,0,0.16,0,TRUE
0.22,-0.03,0.44,0,0,-0.13,0,-1.62,0,0,0,0.17,0.06,-0.12,-0.06,0,TRUE
0.18,0,1.73,0,0,0,0,-1.06,0.23,0,0.25,0.35,0.1,0,0.1,0,TRUE
2.39,0,2.48,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,FALSE
0,-0.16,1.57,0,0,-0.07,0,-0.11,0,0,0,-0.04,0,0,0,0,FALSE
1.95,0,2.15,0,-0.35,0,0.15,-0.79,0,0,0,0,0,0,0.09,-0.09,FALSE
0.17,0,0.25,0,0,0,0,0,0,0,0.14,-0.07,0.06,0,0.06,0,FALSE
0,0.27,2.95,0,0,-0.11,0,-2.28,0,-0.01,0,-0.2,0,0,0,-0.14,TRUE
1.8,-0.08,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,-0.07,0,0,0,0.09,0,0,0,0,0,0,0,FALSE
1.88,0.03,3.64,0,0,-0.05,0,0,0,0,0,0,0.06,-0.1,0.06,0,TRUE
0.35,0,0.33,0,-0.27,0,0,-1.6,0,0,0,0,0.07,0,0.04,-0.99,FALSE
0,0,1.58,0,-0.07,0,0,0,0.21,0,1.77,0,0,0,0,0,TRUE
