"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","desgosto"
9.380822,0,7.158429,22.4795,0,0,9.380822,0,29.63793,10.965784,0,0,10.965784,0,0,39.018751,0,0,0,7.380822,22.257108,9.380822,0,10.965784,TRUE
4.816037,10.965784,17.931569,25.990462,0,15.931569,0,10.965784,27.897353,31.956247,4.816037,0,15.931569,0,7.643856,52.059996,0,0,0,15.781821,35.541209,8.380822,0,15.931569,FALSE
0,0,5.717857,13.664782,0,0,0,0,0,19.382639,0,0,5.506353,0,5.717857,8.158429,0,0,0,0,8.158429,5.717857,0,5.506353,TRUE
0,0,6.878321,3.272297,0,6.380822,0,0,0,16.531441,0,0,0,6.380822,0,10.150619,0,0,0,0,3.272297,6.878321,0,0,FALSE
9.741127,0,5.717857,10.653119,0,0,3.02327,0,0,23.088833,0,0,0,0,0,26.112102,0,0,3.02327,0,8.990154,14.098679,0,0,TRUE
23.518677,0,0,18.607341,0,21.931569,23.518677,0,26.487962,14.050947,0,0,0,0,0,42.126017,21.931569,0,31.025029,0,11.100988,21.931569,0,0,FALSE
10.965784,0,0,25.196913,0,0,0,0,17.931569,18.231129,0,0,0,0,0,36.162697,0,0,10.965784,0,17.931569,7.265345,0,0,FALSE
5.92139,0,19.931569,6.544595,0,10.965784,5.92139,0,19.931569,17.510379,0,0,10.965784,0,0,32.397553,0,0,0,0,26.476163,5.92139,0,10.965784,TRUE
5.92139,0,30.31239,6.544595,0,0,0,0,10.965784,25.891201,5.92139,0,0,0,10.965784,31.812591,0,0,5.92139,0,28.476163,8.380822,0,0,FALSE
0,0,14.224209,33.300895,0,0,0,0,25.045604,22.4795,0,0,0,0,9.380822,38.144282,0,0,0,0,25.045604,22.4795,0,0,TRUE
3.02327,0,0,19.400499,0,0,3.02327,0,4.556393,14.844106,0,0,0,0,0,22.423769,0,0,3.02327,0,4.556393,8.965784,0,5.878321,FALSE
8.380822,0,13.614156,4.53952,0,0,0,0,12.045872,6.107803,8.380822,0,0,0,13.614156,12.920341,0,0,0,8.380822,6.107803,12.045872,0,0,TRUE
13.989054,0,6.210897,28.575425,0,28.437921,3.02327,0,28.142465,35.081777,0,10.965784,17.60964,0,10.965784,42.131519,0,6.506353,13.989054,0,28.142465,0,0,35.081777,TRUE
9.380822,0,10.965784,4.556393,0,0,0,0,15.522178,0,9.380822,0,0,0,0,24.902999,0,0,9.380822,0,15.522178,0,0,0,TRUE
0,7.965784,10.965784,23.668534,5.756331,6.965784,0,0,10.965784,36.390649,7.965784,0,21.044043,6.965784,0,27.31239,0,0,7.965784,0,8.380822,10.965784,0,21.044043,FALSE
11.96793,0,9.965784,36.371284,0,0,11.96793,0,18.60964,27.727428,0,0,0,0,9.965784,48.339214,0,0,6.04654,0,27.990462,24.267996,0,0,TRUE
7.839307,0,19.931569,0,0,0,3.02327,0,19.931569,0,4.816037,0,0,0,0,27.770876,0,0,3.02327,4.816037,19.931569,0,0,0,TRUE
7.265345,15.316859,7.158429,23.10945,0,17.761644,0,0,23.002535,32.185417,0,15.423774,17.761644,0,4.878321,47.971762,0,0,7.265345,19.124214,7.158429,19.302095,0,17.761644,TRUE
0,0,0,13.771697,0,15.012705,0,0,6.265345,22.519058,0,0,15.012705,0,0,13.771697,0,0,7.506353,0,6.265345,0,0,15.012705,TRUE
6.717857,0,21.327497,13.20025,0,10.965784,0,0,12.522178,39.68921,0,0,10.965784,0,22.005569,19.240034,0,0,0,0,20.166034,21.07957,0,10.965784,TRUE
0,0,0,5.506353,0,9.965784,0,0,0,15.472137,0,0,5.506353,0,0,0,0,9.965784,0,0,0,0,0,15.472137,FALSE
9.380822,7.158429,12.132287,14.036751,0,0,0,0,26.169038,7.158429,0,9.380822,0,0,0,42.708289,0,0,9.380822,0,26.169038,7.158429,0,0,TRUE
0,0,16.539251,21.487962,10.965784,0,0,0,11.12986,37.863137,0,0,10.965784,0,8.965784,29.061429,0,0,0,0,21.095644,16.931569,0,10.965784,TRUE
10.965784,0,7.965784,6.795859,8.643856,0,0,0,14.761644,19.60964,0,0,8.643856,0,7.965784,17.761644,0,0,10.965784,0,14.761644,0,8.643856,0,TRUE
13.989054,0,5.680382,10.965784,0,0,3.02327,5.680382,0,21.931569,0,0,0,0,10.965784,19.669436,0,0,3.02327,0,5.680382,21.931569,0,0,FALSE
0,9.965784,0,8.380822,0,0,0,0,0,8.380822,0,9.965784,0,0,8.380822,9.965784,0,0,9.965784,0,0,8.380822,0,0,FALSE
3.02327,0,6.210897,13.238082,0,8.380822,3.02327,0,24.557503,3.272297,0,0,0,0,0,22.472248,8.380822,0,3.02327,0,19.448978,8.380822,0,0,FALSE
